month,repository_language,pushes
2013-06,Turing,20
2013-06,PowerShell,693
2013-06,ActionScript,2238
2013-06,OCaml,1490
2013-06,R,3923
2013-06,Prolog,750
2013-06,SuperCollider,162
2013-06,Rust,997
2013-06,Matlab,3725
2013-06,VHDL,373
2013-06,Verilog,523
2013-06,F#,546
2013-06,Racket,782
2013-06,Haxe,771
2013-06,Awk,84
2013-06,Elixir,629
2013-06,XML,965
2013-06,Standard ML,192
2013-06,D,1430
2013-06,DOT,399
2013-06,ASP,926
2013-06,Vala,219
2013-06,Groovy,2659
2013-06,Processing,1105
2013-06,Erlang,2380
2013-06,FORTRAN,820
2013-06,Objective-J,100
2013-06,ColdFusion,522
2013-06,Augeas,8
2013-06,Arduino,1125
2013-06,Tcl,224
2013-06,OpenEdge ABL,128
2013-06,Lua,4864
2013-06,JavaScript,257249
2013-06,null,132914
2013-06,Python,107154
2013-06,C,60004
2013-06,Delphi,1257
2013-06,Ruby,115558
2013-06,Shell,38140
2013-06,C++,71625
2013-06,Java,149644
2013-06,Assembly,891
2013-06,Puppet,2990
2013-06,Objective-C,18530
2013-06,Perl,13252
2013-06,PHP,99767
2013-06,DCPU-16 ASM,15
2013-06,XSLT,539
2013-06,TypeScript,2035
2013-06,VimL,12094
2013-06,Common Lisp,1209
2013-06,C#,26748
2013-06,Visual Basic,883
2013-06,Clojure,4519
2013-06,CoffeeScript,8358
2013-06,Scala,7955
2013-06,Emacs Lisp,5467
2013-06,Logos,1813
2013-06,Dart,1065
2013-06,Go,6957
2013-06,Julia,656
2013-06,Haskell,5641
2013-06,Scheme,815
2013-06,Smalltalk,187
2013-06,Parrot,42
2013-06,AutoHotkey,250
2013-06,Coq,146
2013-06,Pure Data,66
2013-06,Io,84
2013-06,Gosu,120
2013-06,Lasso,165
2013-06,Kotlin,16
2013-06,Dylan,23
2013-06,Max,16
2013-06,Scilab,63
2013-06,ooc,8
2013-06,Ioke,20
2013-06,XQuery,47
2013-06,Rebol,48
2013-06,Logtalk,21
2013-06,Pike,1
2013-06,Nemerle,40
2013-06,Nimrod,72
2013-06,Factor,43
2013-06,Bro,5
2013-06,Opa,2
2013-06,ABAP,1
2013-06,Fancy,8
2013-06,XProc,1
2013-06,Mirah,4
2013-06,M,44
2013-06,Rouge,1
2013-06,Boo,10
2013-06,Ada,113
2013-06,Eiffel,94
2013-06,Arc,35
2013-06,Apex,212
2013-06,AppleScript,92
2013-06,LiveScript,208
2013-06,MoonScript,14
2013-06,HaXe,82
2013-06,PogoScript,5
2013-06,Nu,5
2013-06,Xtend,60
2013-06,CLIPS,44
2013-06,Ceylon,36
2013-06,Monkey,22
2013-06,eC,3
2013-06,Forth,11
2013-05,Rouge,2
2013-05,Ragel in Ruby Host,10
2013-05,PogoScript,5
2013-05,eC,7
2013-05,Max,28
2013-05,Arc,28
2013-05,Turing,55
2013-05,Bro,11
2013-05,CLIPS,12
2013-05,Mirah,2
2013-05,Fantom,5
2013-05,HaXe,216
2013-05,Ceylon,54
2013-05,XQuery,140
2013-05,Augeas,42
2013-05,Opa,5
2013-05,ooc,90
2013-05,Ada,451
2013-05,Boo,54
2013-05,Factor,204
2013-05,AppleScript,174
2013-05,Awk,212
2013-05,Gosu,86
2013-05,Ecl,39
2013-05,Omgrofl,2
2013-05,Eiffel,264
2013-05,Scilab,179
2013-05,Forth,30
2013-05,Nu,8
2013-05,Parrot,130
2013-05,Apex,381
2013-05,Fancy,18
2013-05,MoonScript,47
2013-05,Kotlin,104
2013-05,Pike,5
2013-05,Monkey,59
2013-05,SuperCollider,628
2013-05,ColdFusion,1504
2013-05,Elixir,910
2013-05,DCPU-16 ASM,61
2013-05,VHDL,1458
2013-05,Prolog,1814
2013-05,Scheme,2704
2013-05,FORTRAN,2347
2013-05,Common Lisp,2987
2013-05,Visual Basic,2444
2013-05,D,3269
2013-05,Tcl,759
2013-05,Io,150
2013-05,F#,1373
2013-05,Rebol,59
2013-05,Delphi,3119
2013-05,Puppet,7859
2013-05,TypeScript,4668
2013-05,Emacs Lisp,15751
2013-05,Nemerle,169
2013-05,Logtalk,138
2013-05,Processing,2318
2013-05,Groovy,7532
2013-05,ActionScript,6369
2013-05,Vala,650
2013-05,Haxe,2503
2013-05,Objective-J,288
2013-05,XML,3810
2013-05,Pure Data,376
2013-05,Erlang,6801
2013-05,Matlab,10296
2013-05,Julia,2176
2013-05,AutoHotkey,579
2013-05,PowerShell,1922
2013-05,Dart,2677
2013-05,Racket,2137
2013-05,Lasso,526
2013-05,Nimrod,185
2013-05,Dylan,53
2013-05,C#,78912
2013-05,Verilog,1184
2013-05,Clojure,12618
2013-05,C,170374
2013-05,DOT,1099
2013-05,OCaml,3962
2013-05,LiveScript,420
2013-05,OpenEdge ABL,345
2013-05,Coq,1067
2013-05,Haskell,13564
2013-05,Xtend,86
